"diary_date","collector","debt_id","portfolio_id","action_type","action_detail","rpc","promise_type","promise_date","promise_amt"
"2023-02-01 07:57:59","Nicola","15078658.T","1719","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 07:58:53","Nicola","15090618.T","1719","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 07:59:09","Juliette","15050419.T","1751","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 07:59:24","Tyeisha","6961486.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:59:37","Nicola","15091040.T","1719","contact","DSC - Debtor Settled on Compromise Offer","RPC","","","0.00"
"2023-02-01 07:59:56","Lydia","15072295.T","1753","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 08:00:01","Nicola","15063371.T","1719","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 08:00:03","Sarah","6962721.T","1718","contact","CO19_TP - Tested Positive","RPC","","","0.00"
"2023-02-01 08:00:36","Juliette","6875216.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:00:48","Sarah","6962849.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:01:10","Tyeisha","15043610.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:01:22","Juliette","6913716.T","1751","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:01:40","Shanaz","6887692.T","1727","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 08:02:02","Sarah","6969006.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:02:12","Tyeisha","15044535.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:02:55","Tyeisha","15045733.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:03:10","Sarah","6970764.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:03:39","Rashida","15042322.T","1728",,,"","","","0.00"
"2023-02-01 08:04:01","Tyeisha","15047357.T","1720","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:04:02","Nicola","15093085.T","1719","contact","NPI- Debtor unable to make payment - Ill/injured","","","","0.00"
"2023-02-01 08:04:03","Damian","15078647.T","1729","contact","P2PSP - Small payments via installment","","","","0.00"
"2023-02-01 08:05:58","Rashida","15045744.T","1728",,,"","","","0.00"
"2023-02-01 08:06:13","Sarah","6971490.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:06:25","Nicola","15073430.T","1719","contact","DIA - Debtor disputing debt - incorrect amount","","","","0.00"
"2023-02-01 08:06:31","Juliette","6914693.T","1751","contact","NPI- Debtor unable to make payment - Ill/injured","","","","0.00"
"2023-02-01 08:06:36","Damian","6963431.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:06:46","Greg","15042946.T","1754",,,"","","","0.00"
"2023-02-01 08:07:18","Vidia","15057844.T","1719","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 08:07:32","Sarah","6971636.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:07:56","Brandi","6872785.T","1726",,,"","","","0.00"
"2023-02-01 08:08:14","Damian","15060964.T","1729","contact","IM - Incoming Message","","","","0.00"
"2023-02-01 08:08:35","Tyeisha","15047963.T","1720","attempt","CD - Answered - call disconnect","","","","0.00"
"2023-02-01 08:08:51","Lydia","15087895.T","1753",,,"","","","0.00"
"2023-02-01 08:09:06","Damian","15067887.T","1729","contact","DS -  Debt Settled ","","","","0.00"
"2023-02-01 08:09:27","Sarah","6972999.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:10:01","Nicola","6911336.T","1719","contact","IM - Incoming Message","","","","0.00"
"2023-02-01 08:10:10","Brandi","15049953.T","1726","attempt","CD - Answered - call disconnect","","","","0.00"
"2023-02-01 08:10:37","Nicola","15079312.T","1719","contact","NPU - Debtor unable to make payment - unemployed","","","","0.00"
"2023-02-01 08:10:38","Juliette","6915741.T","1751","contact","DUD - Debtor disputing debt- unaware of debt","RPC","","","0.00"
"2023-02-01 08:10:46","Sarah","6973929.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:11:03","Damian","15066846.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:11:11","Nicola","15079312.T","1719","contact","NPU - Debtor unable to make payment - unemployed","","","","0.00"
"2023-02-01 08:11:20","Greg","6956842.T","1754",,,"","","","0.00"
"2023-02-01 08:11:26","Nicola","6951538.T","1719","contact","IM - Incoming Message","","","","0.00"
"2023-02-01 08:11:35","Tyeisha","15047992.T","1720","attempt","WR - Answered - wrong number","","","","0.00"
"2023-02-01 08:11:39","Nicola","6955333.T","1719","contact","IM - Incoming Message","","","","0.00"
"2023-02-01 08:11:57","Lydia","15088277.T","1753","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:12:24","Nicola","15079829.T","1719","contact","IM - Incoming Message","","","","0.00"
"2023-02-01 08:12:27","Sarah","6973962.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:12:59","Nicola","15093631.T","1719","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 08:13:17","Brandi","6946890.T","1726","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:13:32","Sarah","15037862.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:13:47","Lydia","15083978.T","1753",,,"","","","0.00"
"2023-02-01 08:14:04","Rashida","15061594.T","1728",,,"","","","0.00"
"2023-02-01 08:14:04","Tyeisha","15048266.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:14:33","Sarah","15038704.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:14:45","Damian","15090372.T","1729","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:15:07","Tyeisha","15048299.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:15:48","Juliette","6941927.T","1751","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:15:50","Sarah","15044377.T","1718","attempt","3RD - Answered - Message left with 3rd party","","","","0.00"
"2023-02-01 08:16:12","Nicola","6901596.T","1719","contact","PBT - Payment to be made - Bank transfer","RPC","","","0.00"
"2023-02-01 08:16:22","Lydia","15085867.T","1753","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:16:33","Tyeisha","15048306.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:16:54","Sarah","15044380.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:17:11","Greg","15071106.T","1754","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:17:22","Nicola","15093605.T","1719","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:17:34","Juliette","6942294.T","1751","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:18:20","Damian","15073222.T","1729","contact","P2PSP - Small payments via installment","","","","0.00"
"2023-02-01 08:18:43","Tyeisha","15048322.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:19:13","Shanaz","15075681.T","1727","attempt","DU - Answered - Debtor is unavailable","","","","0.00"
"2023-02-01 08:19:21","Damian","15091809.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:19:40","Tyeisha","15048327.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:19:55","Rashida","15065815.T","1728",,,"","","","0.00"
"2023-02-01 08:20:26","Juliette","6947675.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:20:50","Greg","15041915.T","1754",,,"","","","0.00"
"2023-02-01 08:21:02","Tyeisha","15048361.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:21:14","Juliette","6948794.T","1751","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:21:50","Greg","15082784.T","1754",,,"","","","0.00"
"2023-02-01 08:22:14","Tyeisha","15048456.T","1720","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:22:40","Sarah","15044586.T","1718","contact","DRIC - Debtor Incoming/Return Call","","","","0.00"
"2023-02-01 08:22:45","Lydia","15087214.T","1753",,,"","","","0.00"
"2023-02-01 08:23:37","Tyeisha","15048473.T","1720","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:23:45","Nicola","15093601.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:23:54","Nicola","15068146.T","1719","contact","PDP - Payment to be made - Direct Payment & Credit Advices","RPC","","","0.00"
"2023-02-01 08:23:57","Brandi","6941251.T","1726","contact","DRIC - Debtor Incoming/Return Call","","","","0.00"
"2023-02-01 08:24:08","Brandi","6947079.T","1726","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:24:42","Juliette","6954385.T","1751","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:24:43","Tyeisha","15048516.T","1720","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:24:59","Rashida","15065836.T","1728",,,"","","","0.00"
"2023-02-01 08:25:16","Nicola","15093599.T","1719","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 08:25:26","Greg","15069864.T","1754",,,"","","","0.00"
"2023-02-01 08:26:10","Nicola","15087154.T","1719","contact","IM - Incoming Message","","","","0.00"
"2023-02-01 08:26:56","Rashida","15065919.T","1728",,,"","","","0.00"
"2023-02-01 08:27:46","Juliette","6956371.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:28:19","Nicola","15093597.T","1719","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 08:28:30","Brandi","6949302.T","1726","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:28:42","Vidia","6949782.T","127",,,"","","","0.00"
"2023-02-01 08:29:19","Shanaz","15043648.T","1727","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:30:50","Juliette","6959977.T","1751","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:30:54","Brandi","6955113.T","1726","attempt","WR - Answered - wrong number","","","","0.00"
"2023-02-01 08:31:02","Rashida","15067706.T","1728",,,"","","","0.00"
"2023-02-01 08:31:09","Tyeisha","15090262.T","1720","contact","DDS - Debtor disputing debt - debt settled","","","","0.00"
"2023-02-01 08:31:51","Nicola","6828766.T","1719","contact","PBV - Payment to be made - Branch Visit","RPC","","","0.00"
"2023-02-01 08:32:21","Vidia","6884721.T","127",,,"","","","0.00"
"2023-02-01 08:32:23","Damian","15090167.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:32:27","Greg","6947316.T","1754",,,"","","","0.00"
"2023-02-01 08:32:40","Tyeisha","6970755.T","1720",,,"","","","0.00"
"2023-02-01 08:32:51","Lydia","6887207.T","1753","attempt","3RD - Answered - Message left with 3rd party","","","","0.00"
"2023-02-01 08:33:41","Nicola","15093581.T","1719","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:33:57","Nicola","6904530.T","1719","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:35:09","Sarah","15044637.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:35:31","Brandi","6955717.T","1726","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:35:36","Juliette","6960884.T","1751","contact","DUD - Debtor disputing debt- unaware of debt","RPC","","","0.00"
"2023-02-01 08:35:37","Vidia","6937732.T","127","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:35:51","Nicola","6914214.T","1719","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:36:04","Sarah","15045264.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:36:27","Tyeisha","15048569.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:36:34","Nicola","6914214.T","1719","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:36:52","Damian","15090129.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:37:11","Damian","15091042.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:37:24","Sarah","15090305.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:37:28","Sarah","15046063.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:38:01","Damian","15074928.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:38:05","Nicola","15093566.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:39:38","Nicola","6916866.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:40:08","Damian","6914184.T","1729","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:40:09","Vidia","6974409.T","127","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:41:04","Damian","6940192.T","1729","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:41:10","Sarah","15046889.T","1718","contact","DRIC - Debtor Incoming/Return Call","","","","0.00"
"2023-02-01 08:41:34","Sarah","15047382.T","1718",,,"","","","0.00"
"2023-02-01 08:42:03","Juliette","6961411.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:42:42","Damian","15091087.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:43:16","Sarah","15047516.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:43:17","Vidia","15058066.T","127","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:43:31","Nicola","6918443.T","1719","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 08:43:50","Nicola","6918443.T","1719","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 08:44:02","Sarah","15047795.T","1718","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:44:14","Nicola","15093560.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:44:24","Damian","15068384.T","1729","contact","P2PSP - Small payments via installment","","","","0.00"
"2023-02-01 08:44:53","Greg","15093642.T","1754",,,"","","","0.00"
"2023-02-01 08:45:02","Juliette","6964199.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:45:06","Damian","15089814.T","1729","contact","NPU - Debtor unable to make payment - unemployed","","","","0.00"
"2023-02-01 08:45:16","Sarah","15048088.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:45:49","Rashida","15072199.T","1728",,,"","","","0.00"
"2023-02-01 08:46:13","Damian","15091934.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:46:14","Lydia","15093773.T","1753","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:46:32","Damian","15092028.T","1729","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 08:46:40","Sarah","15048242.T","1718","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:47:10","Damian","15077786.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:47:12","Juliette","6964422.T","1751","attempt","WR - Answered - wrong number","","","","0.00"
"2023-02-01 08:47:13","Nicola","6918890.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:47:23","Shanaz","6969543.T","1727","contact","P2PSP - Small payments via installment","","once","2023-02-10","200.00"
"2023-02-01 08:47:30","Nicola","6918890.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:47:55","Damian","15077807.T","1729","contact","CAF - Client Awaiting Feedback","","","","0.00"
"2023-02-01 08:49:11","Damian","15063001.T","1729","contact","NPU - Debtor unable to make payment - unemployed","","","","0.00"
"2023-02-01 08:49:43","Damian","15078195.T","1729","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:50:05","Sarah","15048263.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:50:19","Tyeisha","15048578.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:50:27","Greg","6948265.T","1754",,,"","","","0.00"
"2023-02-01 08:50:58","Juliette","6964944.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:51:36","Brandi","6957663.T","1726","contact","P2PSP - Small payments via installment","","monthly","2023-02-25","600.00"
"2023-02-01 08:52:27","Sarah","15048295.T","1718","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:52:31","Nicola","6919007.T","1719","contact","NPU - Debtor unable to make payment - unemployed","","","","0.00"
"2023-02-01 08:52:37","Juliette","6965036.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:53:36","Damian","15057916.T","1729","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 08:54:05","Tyeisha","15048587.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:54:21","Nicola","15093554.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:54:26","Shanaz","6972163.T","1727","contact","P2PSP - Small payments via installment","","once","2023-02-15","200.00"
"2023-02-01 08:54:43","Vidia","6910703.T","127",,,"","","","0.00"
"2023-02-01 08:55:00","Tyeisha","15048625.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:55:07","Greg","6948795.T","1754",,,"","","","0.00"
"2023-02-01 08:55:12","Rashida","15072199.T","1728",,,"","","","0.00"
"2023-02-01 08:55:40","Shanaz","15047590.T","1727","contact","DSC - Debtor Settled on Compromise Offer","RPC","","","0.00"
"2023-02-01 08:55:46","Juliette","6965374.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:56:06","Brandi","6959049.T","1726","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:56:20","Nicola","6943063.T","1719","attempt","CD - Answered - call disconnect","","","","0.00"
"2023-02-01 08:56:36","Shanaz","6951532.T","1727","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:56:46","Nicola","6943063.T","1719","attempt","CD - Answered - call disconnect","","","","0.00"
"2023-02-01 08:57:22","Nicola","15093518.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 08:57:34","Tyeisha","15048694.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:57:39","Greg","15049087.T","1754",,,"","","","0.00"
"2023-02-01 08:57:49","Shanaz","6942091.T","1727","attempt","3RD - Answered - Message left with 3rd party","","","","0.00"
"2023-02-01 08:57:52","Lydia","15087934.T","1753","correspondence","DL - Demand Letter issued","","","","0.00"
"2023-02-01 08:58:18","Nicola","6948398.T","1719","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 08:58:19","Tyeisha","15048780.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:58:49","Sarah","15070835.T","1718","contact","DRIC - Debtor Incoming/Return Call","","","","0.00"
"2023-02-01 08:59:16","Tyeisha","15048790.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 08:59:23","Greg","6910640.T","1754",,,"","","","0.00"
"2023-02-01 08:59:27","Nicola","15093516.T","1719","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 08:59:37","Shanaz","6917818.T","1727","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 09:00:01","Corrine","15073731.T","1717","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 09:00:07","Sarah","15048318.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 09:00:17","Shanaz","6930787.T","1727","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 09:01:41","Greg","6944669.T","1754","correspondence","FWL - Final warning letter issued","","","","0.00"
"2023-02-01 09:01:51","Sarah","15048335.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 09:03:36","Brandi","15077786.T","1729","contact","DRIC - Debtor Incoming/Return Call","","","","0.00"
"2023-02-01 09:03:42","Shanaz","6949744.T","1727","contact","P2PSP - Small payments via installment","","once","2023-02-10","300.00"
"2023-02-01 09:03:43","Corrine","15070436.T","1717","attempt","DD - Answered - Debtor Deceased","","","","0.00"
"2023-02-01 09:04:07","Nicola","6949492.T","1719","contact","PDP - Payment to be made - Direct Payment & Credit Advices","RPC","","","0.00"
"2023-02-01 09:04:31","Sarah","15048342.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 09:05:20","Brandi","6959153.T","1726","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 09:05:54","Nicola","15093505.T","1719","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 09:06:03","Greg","6947812.T","1754",,,"","","","0.00"
"2023-02-01 09:06:26","Damian","15078222.T","1729","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 09:06:27","Lydia","6947161.T","1753",,,"","","","0.00"
"2023-02-01 09:06:56","Corrine","15070643.T","1717","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 09:07:00","Greg","6954482.T","1754","attempt","NAVL - No answer - Voicemail Left","","","","0.00"
"2023-02-01 09:07:14","Sarah","6969006.T","1718","contact","DRIC - Debtor Incoming/Return Call","","","","0.00"
"2023-02-01 09:07:31","Damian","15059405.T","1729",,,"","","","0.00"
"2023-02-01 09:07:51","Rashida","15074342.T","1728",,,"","","","0.00"
"2023-02-01 09:08:19","Sarah","15048400.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 09:08:33","Rashida","15074728.T","1728",,,"","","","0.00"
"2023-02-01 09:08:59","Damian","15078441.T","1729","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 09:09:01","Nicola","6961596.T","1719","attempt","NAUC - No answer - Call unable to connect","","","","0.00"
"2023-02-01 09:09:50","Greg","6961941.T","1754","correspondence","FWL - Final warning letter issued","","","","0.00"
"2023-02-01 09:09:58","Sarah","15082161.T","1718","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 09:10:02","Brandi","6960580.T","1726",,,"","","","0.00"
